SubjectID$ID	Week sample obtained$clinical	s__Prevotella_copri$taxa	s__Faecalibacterium_prausnitzii$taxa	s__Bacteroides_uniformis$taxa	s__Bacteroides_stercoris$taxa	s__Escherichia_coli$taxa	s__Roseburia_intestinalis$taxa	s__Bacteroides_vulgatus$taxa	s__Bacteroides_fragilis$taxa	s__Eubacterium_rectale$taxa	s__Akkermansia_muciniphila$taxa	s__Klebsiella_pneumoniae$taxa	s__Subdoligranulum_unclassified$taxa	s__Bacteroides_ovatus$taxa	s__Bacteroides_dorei$taxa	s__Bacteroides_eggerthii$taxa	s__Bacteroides_caccae$taxa	s__Haemophilus_parainfluenzae$taxa	s__Eubacterium_siraeum$taxa	s__Dialister_invisus$taxa	s__Bacteroides_cellulosilyticus$taxa	s__Bacteroides_massiliensis$taxa	s__Alistipes_putredinis$taxa	s__Parabacteroides_distasonis$taxa	s__Escherichia_unclassified$taxa	s__C2likevirus_unclassified$taxa	s__Alistipes_onderdonkii$taxa	s__Bacteroides_thetaiotaomicron$taxa	s__Parabacteroides_unclassified$taxa	s__Ruminococcus_gnavus$taxa	s__Parabacteroides_merdae$taxa	s__Veillonella_unclassified$taxa	s__Sutterella_wadsworthensis$taxa	s__Veillonella_parvula$taxa	s__Bacteroides_faecis$taxa	s__Clostridium_hathewayi$taxa	s__Peptostreptococcaceae_noname_unclassified$taxa	s__Bifidobacterium_adolescentis$taxa	s__Barnesiella_intestinihominis$taxa	s__Ruminococcus_bromii$taxa	s__Oscillibacter_unclassified$taxa	s__Clostridium_clostridioforme$taxa	s__Eubacterium_eligens$taxa	s__Roseburia_inulinivorans$taxa	s__Streptococcus_parasanguinis$taxa	s__Bacteroides_finegoldii$taxa	s__Ruminococcus_torques$taxa	s__Bacteroides_xylanisolvens$taxa	s__Bifidobacterium_longum$taxa	s__Veillonella_dispar$taxa	s__Alistipes_finegoldii$taxa	s__Clostridium_bolteae$taxa	s__Alistipes_shahii$taxa	s__Odoribacter_splanchnicus$taxa	s__Clostridium_leptum$taxa	s__Roseburia_hominis$taxa	s__Clostridium_symbiosum$taxa	s__Lachnospiraceae_bacterium_1_1_57FAA$taxa	s__Roseburia_unclassified$taxa	s__Clostridium_citroniae$taxa	s__Eubacterium_ventriosum$taxa	s__Pseudomonas_unclassified$taxa	s__Ruminococcus_lactaris$taxa	s__Bilophila_unclassified$taxa	s__Dorea_longicatena$taxa	s__Veillonella_atypica$taxa	s__Flavonifractor_plautii$taxa	s__Collinsella_aerofaciens$taxa	s__Streptococcus_salivarius$taxa	s__Eubacterium_hallii$taxa	s__Ruminococcus_callidus$taxa	s__Lachnospiraceae_bacterium_3_1_46FAA$taxa	s__Burkholderiales_bacterium_1_1_47$taxa	s__Coprobacillus_unclassified$taxa	s__Parasutterella_excrementihominis$taxa	s__Ruminococcus_obeum$taxa	s__Propionibacterium_acnes$taxa	s__Streptococcus_thermophilus$taxa	s__Coprococcus_comes$taxa	s__Eubacterium_ramulus$taxa	s__Mitsuokella_unclassified$taxa	s__Lachnospiraceae_bacterium_8_1_57FAA$taxa	s__Ruminococcaceae_bacterium_D16$taxa	s__Lachnospiraceae_bacterium_3_1_57FAA_CT1$taxa	s__Lachnospiraceae_bacterium_2_1_58FAA$taxa	s__Dorea_formicigenerans$taxa	s__Bilophila_wadsworthia$taxa	s__Coprococcus_catus$taxa	s__Anaerostipes_hadrus$taxa	s__Lachnospiraceae_bacterium_7_1_58FAA$taxa	s__Lachnospiraceae_bacterium_5_1_63FAA$taxa	s__Clostridiales_bacterium_1_7_47FAA$taxa	s__Clostridium_asparagiforme$taxa	s__Clostridium_bartlettii$taxa	s__Holdemania_filiformis$taxa	s__Anaerotruncus_colihominis$taxa	s__Clostridiaceae_bacterium_JC118$taxa	s__Erysipelotrichaceae_bacterium_6_1_45$taxa	s__Holdemania_unclassified$taxa	s__Dorea_unclassified$taxa	s__Anaerotruncus_unclassified$taxa	s__Eggerthella_unclassified$taxa
4	5	0	0.038948274	0.088220998	0.109846878	0.000318215	2.16E-05	0.129613785	0.000786553	0	0.150783292	0	0.108123973	0.013137824	0.001574727	0	0.044298017	0	0.000849096	0.000269121	0.000899324	8.86E-05	0.001144225	0.024205083	0.000314814	0.007927724	0	0	0	0.001588745	0.006568663	8.22E-06	0	0	0.004301365	0.00017426	2.03E-05	2.29E-05	2.95E-05	0	0.051245656	0.002748933	0.001113603	0.000704811	1.43E-05	0	0.004620938	0.000443819	0.002536503	0	0.012039691	0.091903611	3.22E-05	0	0.001693798	4.78E-06	0.000113569	0	0	0.000245581	2.03E-05	0	0.00063701	0.02454879	0.001113604	2.89E-06	0.003752286	0.002356751	4.19E-05	0.000693342	2.02E-07	0	0.006563806	0.000387306	6.15E-05	0	1.74E-05	4.19E-05	0	0	0	0	0	0.000121585	0.000221495	0.000257013	0.003510924	2.82E-07	0.00089653	0.003422784	0.000317821	0.000210982	0.000791798	0	9.18E-05	0.001762711	6.73E-06	8.64E-07	0	0	0	0.000294894
4	7	0	0.009750935	0.097731971	0.229112101	0	1.92E-05	0.183422323	0.00044136	0.022311511	0.080450583	0	0.036367259	0.041722254	0.001964257	0	0.038586693	3.71E-05	0.000523968	0.000293911	0.003605887	0.000171322	0.001779499	0.008110338	0.000155657	0.003081775	0.00013417	0.000356696	0	0.00123	0.040431494	0	0	0	0.00267613	6.61E-05	2.77E-05	8.14E-05	5.84E-05	0.000561949	0.044069237	0.001986985	0.000991268	0	2.40E-05	0.017381861	0.002304881	0.000295167	0.001093498	0	0.011819156	0.036995897	6.37E-05	0.000115751	0.002115992	9.45E-06	1.48E-05	2.80E-05	0.000232509	0.000190222	4.01E-05	0	0.001660024	0.025547282	0.000215254	0	0.002819234	0.000960661	8.28E-05	0.000183894	3.99E-07	5.83E-05	0.004888355	0.000225902	5.11E-05	0.000138482	0	1.79E-05	5.79E-05	0	0	0.000720216	8.65E-05	5.71E-05	0.000169146	0.000187804	0.001830503	2.69E-06	0.000376003	0.002516645	0.000185283	0.000145654	0.000428015	1.39E-06	5.78E-05	0.001051694	1.09E-05	1.66E-06	4.12E-05	1.48E-05	4.58E-05	0.000140615
4	9	0	0.008823143	0.131269902	0.187307113	0	1.62E-05	0.125425588	0.000261999	0.016488406	0.218347669	0	0.030308059	0.039793913	0.002996784	0	0.050467715	0.000190016	0.000356975	0.000295168	0.010598087	0.000204573	0	0.008618742	8.34E-05	0.000737321	0.000319128	0.000644641	0	0.001051785	0.029300967	0	0	0	0.002046429	5.36E-05	3.13E-05	0.000112417	7.00E-05	0.001294755	0.028975131	0.001591287	0.00104594	0.002473156	2.83E-05	0.015222235	0.001531613	0.000229596	0.000664379	0	0.012018701	0.015112171	7.64E-05	0.000312969	0.002517515	1.13E-05	0	6.85E-05	0.000630564	0.000181499	4.81E-05	0	0.00126742	0.008350089	0.000135702	0	0.002461926	0.0005257	9.94E-05	0	4.79E-07	0.000145644	0.004409497	0.000159989	5.03E-05	0.000267966	0	7.54E-06	0.000124478	0	0	0.001552042	0.000174167	3.29E-05	0.000140667	0.000160192	0.001178192	3.83E-06	0.000177076	0.002141675	0.000143627	0.000119955	0.000268666	3.76E-06	5.65E-05	0.000758713	1.41E-05	2.18E-06	6.43E-05	3.03E-05	0.000106364	7.02E-05
4	11	0	0.039676604	0.212763557	0.146064826	5.55E-05	1.21E-05	0.205972907	0.000135812	0.036515204	0.013820944	0	0.022311918	0.071056094	0.004394001	0	0.069685942	0.00030501	0.000232955	0.000259587	0.013278266	0.00019698	0.000304957	0.010893314	4.68E-05	0	0.000408422	0.000793694	0	0.000875232	0.025722136	3.92E-06	0	2.07E-06	0.00178379	9.46E-05	3.06E-05	0.000122614	6.76E-05	0.001624603	0.025084492	0.001236278	0.00114082	0.006684061	2.77E-05	0.01956682	0.001480732	0.000187771	0.000742004	0	0.011659567	0.007626706	7.38E-05	0.000409504	0.002775044	1.09E-05	0	9.41E-05	0.000825947	0.000186833	4.64E-05	0	0.00029468	0.002889375	0.00053751	0	0.002219243	0.000576303	9.59E-05	0	4.62E-07	0.000187314	0.004274786	0.000129994	5.16E-05	0.000365178	0	3.36E-06	0.000154074	0	0	0.00211851	0.000214128	2.73E-05	0.000111456	0.000142345	0.000970833	4.07E-06	0.000131126	0.001871907	0.000140249	0.0001055	0.000189362	4.92E-06	7.07E-05	0.000622396	1.59E-05	2.42E-06	7.42E-05	2.58E-05	0.000124385	3.50E-05
4	13	0	0.260077785	0.120923605	0.096711674	0.0007352	8.00E-06	0.084350696	4.61E-05	0.128798126	0.014453837	0	0.083922062	0.022864993	0.005860904	0	0.019337635	0.000375225	0.000134293	0.000189987	0.00741079	0.000153697	0.016902418	0.006570974	3.44E-05	0	0.000410713	0.000810416	0	0.000672553	0.022725439	1.22E-05	0	5.33E-06	0.001732797	0.000168197	2.57E-05	0.000112874	5.28E-05	0.001594359	0.01244978	0.000876614	0.001218857	0.007777404	2.26E-05	0.012967452	0.001893039	0.000157747	0.001141074	0	0.010574449	0.007125218	5.76E-05	0.000415144	0.002810732	8.55E-06	2.47E-05	0.000104475	0.000838229	0.000195303	3.63E-05	0	0	0.005467733	0.001235377	5.34E-06	0.001987835	0.000943488	7.49E-05	3.78E-05	3.61E-07	0.000187769	0.004247846	0.000120941	5.26E-05	0.000422074	0	3.53E-06	0.000150453	0	0	0.002414919	0.000210741	3.44E-05	7.85E-05	0.000127627	0.001051318	3.51E-06	0.000188336	0.001616414	0.000158033	9.55E-05	0.000161717	4.99E-06	9.23E-05	0.00058186	1.62E-05	2.36E-06	7.15E-05	8.30E-06	0.000109344	2.44E-05
4	15	0	0	0.123335281	0.148527851	0.001505405	6.19E-06	0.235274017	0	0.104725699	0.044479437	0	0.013585989	0.073010517	0.007227999	0	0.066608395	0.000402444	6.27E-05	0.000105252	0.003580531	9.10E-05	0.00574658	0.012089923	3.95E-05	0	0.000351026	0.000733993	0	0.000472048	0.034976484	2.17E-05	0	8.63E-06	0.001840195	0.000254713	1.84E-05	9.00E-05	3.13E-05	0.001313949	0.021517562	0.000552496	0.00127416	0.00677278	1.52E-05	0.012572195	0.002576994	0.000139494	0.001701545	0	0.009218011	0.01315242	3.42E-05	0.000355694	0.0026733	5.07E-06	7.63E-05	0.000102835	0.000719246	0.000204918	2.15E-05	0	7.77E-06	0.009868962	0.002038076	1.26E-05	0.001791267	0.001477103	4.45E-05	0.000191409	2.14E-07	0.000158995	0.004312767	0.000125914	5.34E-05	0.000443294	1.04E-05	6.57E-06	0.000123813	0	0	0.002510566	0.000177351	4.94E-05	4.63E-05	0.000117639	0.001318797	2.46E-06	0.000306341	0.001395567	0.000186668	8.94E-05	0.000171003	4.28E-06	0.000115576	0.000614371	1.53E-05	2.09E-06	5.99E-05	0	7.64E-05	3.13E-05
4	17	0	0.034085374	0.135407495	0.174523795	0.002173005	8.46E-06	0.231705532	0	0.049930684	0.010838598	0	0.021097382	0.063213892	0.008252527	0	0.077681903	0.000386007	1.59E-05	2.20E-05	0.001671297	2.38E-05	0	0.020329879	5.32E-05	0	0.000252182	0.000597467	0	0.00029101	0.040335316	2.99E-05	0	1.12E-05	0.002017068	0.000331671	1.02E-05	5.97E-05	8.27E-06	0.000885116	0.016584843	0.000287251	0.001284707	0.00688118	7.03E-06	0.025316342	0.003298585	0.000129783	0.00223899	0	0.007897912	0.006673343	9.03E-06	0.000254901	0.002381193	1.34E-06	0.000131496	9.15E-05	0.000516675	0.000210779	5.68E-06	0	0.002894538	0.009895107	0.002733699	1.89E-05	0.001620478	0.002004953	1.17E-05	0.000362133	5.66E-08	0.000112022	0.00438494	0.000135341	5.33E-05	0.000429765	2.28E-05	1.08E-05	8.35E-05	0	0	0.002452553	0.000126033	6.66E-05	1.81E-05	0.000111715	0.001645907	1.20E-06	0.00043664	0.00120259	0.000212976	8.48E-05	0.000197742	3.06E-06	0.000133605	0.000683878	1.35E-05	1.65E-06	4.28E-05	0	4.02E-05	4.74E-05
4	19	0	0.214437844	0.033682163	0.145939922	0.002618437	1.67E-05	0.214877012	0	0.07832695	0.004055624	0	0.0423218	0.029350472	0.008946876	0	0.033248971	0.000337706	0	0	0.00136997	0	0	0.010565037	6.87E-05	0.000384106	0.000144474	0.000451325	0	0.000153165	0.014854795	3.54E-05	0	1.26E-05	0.002232144	0.000387246	2.84E-06	2.97E-05	0	0.000435227	0.017507202	0.00010867	0.001267017	0.019758894	7.93E-08	0.030603792	0.003925196	0.000128805	0.00264077	0	0.007126799	0	0	0.0001441	0.002024154	0	0.000181495	7.57E-05	0.000293578	0.000214235	0	0	0.027991388	0.008506774	0.003200499	2.29E-05	0.001510872	0.002418914	0	0.000509337	0	6.12E-05	0.004505647	0.000143669	5.30E-05	0.000395691	3.59E-05	1.48E-05	4.14E-05	0	0	0.002360388	7.25E-05	8.24E-05	0	0.000112178	0.001954711	5.68E-08	0.000544644	0.001063279	0.000230397	8.19E-05	0.000228156	1.73E-06	0.000143583	0.000773618	1.13E-05	1.16E-06	2.48E-05	0	1.58E-05	6.54E-05
4	21	0	0.06309657	0.118106544	0.202301385	0.002698322	3.26E-05	0.281510575	0	0.017230237	0.000789768	0	0.026927226	0.02274061	0.009164224	0	0.057315419	0.000258547	0	0	0.002182309	0	0	0.005131187	7.84E-05	0.00081426	4.70E-05	0.000324436	0	6.84E-05	0.030645631	3.64E-05	0	1.22E-05	0.002416522	0.000404985	0	4.57E-06	0	4.83E-05	0.007310582	2.83E-05	0.001206916	0.025789111	0	0.011382596	0.004279719	0.00013355	0.002765414	0	0.007171704	0.017059894	0	4.32E-05	0.001620051	0	0.000216817	5.78E-05	8.99E-05	0.000211864	0	0	0.021313509	0.015503173	0.003280974	2.32E-05	0.001453438	0.002587333	0	0.000591987	0	1.57E-05	0.004616576	0.000142808	5.22E-05	0.00034372	4.82E-05	1.71E-05	5.24E-06	0	0	0.002288326	2.68E-05	9.25E-05	0	0.000118566	0.002144972	0	0.000591793	0.000968121	0.000228569	7.86E-05	0.000245635	5.19E-07	0.000140301	0.000854878	9.06E-06	6.60E-07	8.55E-06	0	1.57E-05	7.83E-05
4	23	0	0.026448999	0.112749166	0.043497356	0.002484541	6.39E-05	0.162640234	0	0.141670743	0	0	0.039760886	0.101516454	0.009612388	0	0.082901706	0.000163676	0	0	0.004028592	0	0.000492825	0.018746135	8.23E-05	0.000941495	0	0.00027075	0	5.37E-05	0.069833505	3.42E-05	0	1.04E-05	0.002750246	0.000403991	0	0	0	0	0.029502845	6.78E-05	0.001197941	0.016883567	0	0.018930387	0.004594163	0.000155383	0.002710272	0	0.009148951	0.023419941	0	0	0.001305373	0	0.000250158	4.38E-05	0	0.000220083	0	0	0.00789131	0.018913286	0.003087129	2.01E-05	0.001585526	0.002608722	0	0.000623918	0	0	0.005124088	0.000137034	5.55E-05	0.000303532	6.42E-05	1.81E-05	0	0	0	0.002517519	0	0.000101573	0	0.000143615	0.002324579	0	0.000591822	0.001001086	0.000216366	8.03E-05	0.000256823	0	0.000130017	0.000988575	7.58E-06	2.24E-07	0	1.71E-05	5.77E-05	8.64E-05
