SubjectID$ID	Week sample obtained$clinical	s__Prevotella_copri$taxa	s__Faecalibacterium_prausnitzii$taxa	s__Bacteroides_uniformis$taxa	s__Bacteroides_stercoris$taxa	s__Escherichia_coli$taxa	s__Roseburia_intestinalis$taxa	s__Bacteroides_vulgatus$taxa	s__Bacteroides_fragilis$taxa	s__Eubacterium_rectale$taxa	s__Akkermansia_muciniphila$taxa	s__Klebsiella_pneumoniae$taxa	s__Subdoligranulum_unclassified$taxa	s__Bacteroides_ovatus$taxa	s__Bacteroides_dorei$taxa	s__Bacteroides_eggerthii$taxa	s__Bacteroides_caccae$taxa	s__Haemophilus_parainfluenzae$taxa	s__Eubacterium_siraeum$taxa	s__Dialister_invisus$taxa	s__Bacteroides_cellulosilyticus$taxa	s__Bacteroides_massiliensis$taxa	s__Alistipes_putredinis$taxa	s__Parabacteroides_distasonis$taxa	s__Escherichia_unclassified$taxa	s__C2likevirus_unclassified$taxa	s__Alistipes_onderdonkii$taxa	s__Bacteroides_thetaiotaomicron$taxa	s__Parabacteroides_unclassified$taxa	s__Ruminococcus_gnavus$taxa	s__Parabacteroides_merdae$taxa	s__Veillonella_unclassified$taxa	s__Sutterella_wadsworthensis$taxa	s__Veillonella_parvula$taxa	s__Bacteroides_faecis$taxa	s__Clostridium_hathewayi$taxa	s__Peptostreptococcaceae_noname_unclassified$taxa	s__Bifidobacterium_adolescentis$taxa	s__Barnesiella_intestinihominis$taxa	s__Ruminococcus_bromii$taxa	s__Oscillibacter_unclassified$taxa	s__Clostridium_clostridioforme$taxa	s__Eubacterium_eligens$taxa	s__Roseburia_inulinivorans$taxa	s__Streptococcus_parasanguinis$taxa	s__Bacteroides_finegoldii$taxa	s__Ruminococcus_torques$taxa	s__Bacteroides_xylanisolvens$taxa	s__Bifidobacterium_longum$taxa	s__Veillonella_dispar$taxa	s__Alistipes_finegoldii$taxa	s__Clostridium_bolteae$taxa	s__Alistipes_shahii$taxa	s__Odoribacter_splanchnicus$taxa	s__Clostridium_leptum$taxa	s__Roseburia_hominis$taxa	s__Clostridium_symbiosum$taxa	s__Lachnospiraceae_bacterium_1_1_57FAA$taxa	s__Roseburia_unclassified$taxa	s__Clostridium_citroniae$taxa	s__Eubacterium_ventriosum$taxa	s__Pseudomonas_unclassified$taxa	s__Ruminococcus_lactaris$taxa	s__Bilophila_unclassified$taxa	s__Dorea_longicatena$taxa	s__Veillonella_atypica$taxa	s__Flavonifractor_plautii$taxa	s__Collinsella_aerofaciens$taxa	s__Streptococcus_salivarius$taxa	s__Eubacterium_hallii$taxa	s__Ruminococcus_callidus$taxa	s__Lachnospiraceae_bacterium_3_1_46FAA$taxa	s__Burkholderiales_bacterium_1_1_47$taxa	s__Coprobacillus_unclassified$taxa	s__Parasutterella_excrementihominis$taxa	s__Ruminococcus_obeum$taxa	s__Propionibacterium_acnes$taxa	s__Streptococcus_thermophilus$taxa	s__Coprococcus_comes$taxa	s__Eubacterium_ramulus$taxa	s__Mitsuokella_unclassified$taxa	s__Lachnospiraceae_bacterium_8_1_57FAA$taxa	s__Ruminococcaceae_bacterium_D16$taxa	s__Lachnospiraceae_bacterium_3_1_57FAA_CT1$taxa	s__Lachnospiraceae_bacterium_2_1_58FAA$taxa	s__Dorea_formicigenerans$taxa	s__Bilophila_wadsworthia$taxa	s__Coprococcus_catus$taxa	s__Anaerostipes_hadrus$taxa	s__Lachnospiraceae_bacterium_7_1_58FAA$taxa	s__Lachnospiraceae_bacterium_5_1_63FAA$taxa	s__Clostridiales_bacterium_1_7_47FAA$taxa	s__Clostridium_asparagiforme$taxa	s__Clostridium_bartlettii$taxa	s__Holdemania_filiformis$taxa	s__Anaerotruncus_colihominis$taxa	s__Clostridiaceae_bacterium_JC118$taxa	s__Erysipelotrichaceae_bacterium_6_1_45$taxa	s__Holdemania_unclassified$taxa	s__Dorea_unclassified$taxa	s__Anaerotruncus_unclassified$taxa	s__Eggerthella_unclassified$taxa	m__HMDB00764$metabolite	m__HMDB00511$metabolite	m__HMDB00197$metabolite	m__HMDB00806$metabolite	m__HMDB00626$metabolite	m__HMDB00619$metabolite	m__HMDB00637$metabolite	m__HMDB00138$metabolite	m__HMDB00036$metabolite	m__HMDB01895$metabolite	m__HMDB00020$metabolite	m__HMDB10169$metabolite	m__HMDB00067$metabolite	m__HMDB02123$metabolite	m__HMDB00510$metabolite	m__HMDB00452$metabolite	m__HMDB11718$metabolite	m__HMDB00873$metabolite	m__HMDB01232$metabolite	m__HMDB00448$metabolite	m__HMDB00019$metabolite	m__HMDB00039$metabolite	m__HMDB00482$metabolite	m__HMDB00094$metabolite	m__HMDB01547$metabolite	m__HMDB00365$metabolite	m__HMDB00174$metabolite	m__HMDB00139$metabolite	m__HMDB00118$metabolite	m__HMDB00195$metabolite	m__HMDB00156$metabolite	m__HMDB02329$metabolite	m__HMDB00209$metabolite	m__HMDB00244$metabolite	m__HMDB00247$metabolite	m__HMDB00956$metabolite	m__HMDB00251$metabolite	m__HMDB00262$metabolite	m__HMDB00289$metabolite	m__HMDB00296$metabolite	m__HMDB00098$metabolite	m__HMDB00089$metabolite	m__HMDB00725$metabolite	m__HMDB00715$metabolite	m__HMDB00870$metabolite	m__HMDB00043$metabolite	m__HMDB00097$metabolite	m__HMDB01257$metabolite	m__HMDB00562$metabolite	m__HMDB00630$metabolite	m__HMDB00101$metabolite	m__HMDB00014$metabolite	m__HMDB01149$metabolite	m__HMDB00699$metabolite	m__HMDB00056$metabolite	m__HMDB00194$metabolite	m__HMDB00222$metabolite	m__HMDB01169$metabolite	m__HMDB03464$metabolite	m__HMDB01991$metabolite	m__HMDB00030$metabolite	m__HMDB02322$metabolite	m__HMDB00063$metabolite	m__HMDB00128$metabolite	m__HMDB04193$metabolite	m__HMDB00812$metabolite	m__HMDB03357$metabolite	m__HMDB04610$metabolite	m__HMDB00239$metabolite	m__HMDB00269$metabolite
4	5	0	0.038948274	0.088220998	0.109846878	0.000318215	2.16E-05	0.129613785	0.000786553	0	0.150783292	0	0.108123973	0.013137824	0.001574727	0	0.044298017	0	0.000849096	0.000269121	0.000899324	8.86E-05	0.001144225	0.024205083	0.000314814	0.007927724	0	0	0	0.001588745	0.006568663	8.22E-06	0	0	0.004301365	0.00017426	2.03E-05	2.29E-05	2.95E-05	0	0.051245656	0.002748933	0.001113603	0.000704811	1.43E-05	0	0.004620938	0.000443819	0.002536503	0	0.012039691	0.091903611	3.22E-05	0	0.001693798	4.78E-06	0.000113569	0	0	0.000245581	2.03E-05	0	0.00063701	0.02454879	0.001113604	2.89E-06	0.003752286	0.002356751	4.19E-05	0.000693342	2.02E-07	0	0.006563806	0.000387306	6.15E-05	0	1.74E-05	4.19E-05	0	0	0	0	0	0.000121585	0.000221495	0.000257013	0.003510924	2.82E-07	0.00089653	0.003422784	0.000317821	0.000210982	0.000791798	0	9.18E-05	0.001762711	6.73E-06	8.64E-07	0	0	0	0.000294894	0.00335223	0.000239519	1.01E-05	0.008231322	0.057094451	0.000868334	0.002865459	0.00165297	0.001841134	0.000210939	0.00021038	0.007923785	0.003358374	0.000168947	0.001807081	9.62E-05	0.000777034	9.76E-05	8.14E-05	0.000594392	6.36E-06	0.00464999	0.001889875	4.05E-05	9.08E-06	0	0.000242177	8.76E-05	1.64E-05	0.000580828	0.000146834	0.006591	0.000574807	3.11E-05	0.001167393	0.000647255	0.000675661	0.001157533	0.038559193	0.001579612	0.000237101	0.003549263	7.29E-06	0.000130919	0.000872002	0.006203786	0.006939411	0.778924407	0	4.35E-05	0.471547787	0.003211113	0.002222658	4.87E-05	0.008873315	0	0.001584264	1.38E-05	0.000144289	0.059331882	0.048928949	0.541442411	1.62E-05	0.000254133	0.000329357	3.00E-06	7.23E-06	0.058662395	0.020345574	0.010204032
4	7	0	0.009750935	0.097731971	0.229112101	0	1.92E-05	0.183422323	0.00044136	0.022311511	0.080450583	0	0.036367259	0.041722254	0.001964257	0	0.038586693	3.71E-05	0.000523968	0.000293911	0.003605887	0.000171322	0.001779499	0.008110338	0.000155657	0.003081775	0.00013417	0.000356696	0	0.00123	0.040431494	0	0	0	0.00267613	6.61E-05	2.77E-05	8.14E-05	5.84E-05	0.000561949	0.044069237	0.001986985	0.000991268	0	2.40E-05	0.017381861	0.002304881	0.000295167	0.001093498	0	0.011819156	0.036995897	6.37E-05	0.000115751	0.002115992	9.45E-06	1.48E-05	2.80E-05	0.000232509	0.000190222	4.01E-05	0	0.001660024	0.025547282	0.000215254	0	0.002819234	0.000960661	8.28E-05	0.000183894	3.99E-07	5.83E-05	0.004888355	0.000225902	5.11E-05	0.000138482	0	1.79E-05	5.79E-05	0	0	0.000720216	8.65E-05	5.71E-05	0.000169146	0.000187804	0.001830503	2.69E-06	0.000376003	0.002516645	0.000185283	0.000145654	0.000428015	1.39E-06	5.78E-05	0.001051694	1.09E-05	1.66E-06	4.12E-05	1.48E-05	4.58E-05	0.000140615	0.007112568	0.000254207	1.20E-05	0.005330732	0.051362108	0	0.012848957	0.0145763	0.014469282	0.000133059	0.000463885	0.017645257	0.002401898	0.000157591	0.001899407	5.00E-05	0.001194672	9.88E-05	0.000123348	0.000513299	5.25E-06	0.005887543	0.001958334	7.36E-05	1.07E-05	0	0.000327032	0.000187165	3.69E-05	0.000462257	0.000245391	0.021298586	0.000324331	0.000126148	0.004119474	0.000948032	0.001641213	0.001010257	0.078251764	0.003073127	0.000477358	0.023055221	3.96E-05	0.000470778	0.001926633	0.014215673	0.010781547	0.985891961	0.000586665	0.000208456	0.451722527	0.004967462	0.006801293	0.000104816	0.008812352	0	0.00208942	1.32E-05	0.000640338	0.141368246	0.025000309	0.345469754	8.42E-06	0.000500922	0.000726619	5.51E-06	1.63E-05	0.108327973	0.050604022	0.00733744
4	9	0	0.008823143	0.131269902	0.187307113	0	1.62E-05	0.125425588	0.000261999	0.016488406	0.218347669	0	0.030308059	0.039793913	0.002996784	0	0.050467715	0.000190016	0.000356975	0.000295168	0.010598087	0.000204573	0	0.008618742	8.34E-05	0.000737321	0.000319128	0.000644641	0	0.001051785	0.029300967	0	0	0	0.002046429	5.36E-05	3.13E-05	0.000112417	7.00E-05	0.001294755	0.028975131	0.001591287	0.00104594	0.002473156	2.83E-05	0.015222235	0.001531613	0.000229596	0.000664379	0	0.012018701	0.015112171	7.64E-05	0.000312969	0.002517515	1.13E-05	0	6.85E-05	0.000630564	0.000181499	4.81E-05	0	0.00126742	0.008350089	0.000135702	0	0.002461926	0.0005257	9.94E-05	0	4.79E-07	0.000145644	0.004409497	0.000159989	5.03E-05	0.000267966	0	7.54E-06	0.000124478	0	0	0.001552042	0.000174167	3.29E-05	0.000140667	0.000160192	0.001178192	3.83E-06	0.000177076	0.002141675	0.000143627	0.000119955	0.000268666	3.76E-06	5.65E-05	0.000758713	1.41E-05	2.18E-06	6.43E-05	3.03E-05	0.000106364	7.02E-05	0.008359122	0.000239711	1.43E-05	0.003928378	0.046952459	0	0.012576561	0.01844818	0.019385085	9.75E-05	0.000593706	0.019728655	0.001883032	0.000142136	0.002034925	0.000105718	0.001517772	9.63E-05	0.000153753	0.000457536	4.26E-06	0.007709417	0.001804271	7.64E-05	1.28E-05	0	0.00034931	0.000242305	5.36E-05	0.000408938	0.000253213	0.031167874	0.000190114	0.000187692	0.003534421	0.001089299	0.001993025	0.000867866	0.072758887	0.004054953	0.000601894	0.031047757	6.30E-05	0.000592706	0.001762663	0.016150693	0.011370848	1.084800664	0.0036229	0.000269867	0.43317454	0.006084003	0.010255793	0.000137633	0.017588255	1.80E-05	0.001661218	1.24E-05	0.000947169	0.182594845	0.018160943	0.209617903	8.81E-06	0.000676153	0.001031881	6.03E-06	2.53E-05	0.143430824	0.071579531	0.006010183
4	11	0	0.039676604	0.212763557	0.146064826	5.55E-05	1.21E-05	0.205972907	0.000135812	0.036515204	0.013820944	0	0.022311918	0.071056094	0.004394001	0	0.069685942	0.00030501	0.000232955	0.000259587	0.013278266	0.00019698	0.000304957	0.010893314	4.68E-05	0	0.000408422	0.000793694	0	0.000875232	0.025722136	3.92E-06	0	2.07E-06	0.00178379	9.46E-05	3.06E-05	0.000122614	6.76E-05	0.001624603	0.025084492	0.001236278	0.00114082	0.006684061	2.77E-05	0.01956682	0.001480732	0.000187771	0.000742004	0	0.011659567	0.007626706	7.38E-05	0.000409504	0.002775044	1.09E-05	0	9.41E-05	0.000825947	0.000186833	4.64E-05	0	0.00029468	0.002889375	0.00053751	0	0.002219243	0.000576303	9.59E-05	0	4.62E-07	0.000187314	0.004274786	0.000129994	5.16E-05	0.000365178	0	3.36E-06	0.000154074	0	0	0.00211851	0.000214128	2.73E-05	0.000111456	0.000142345	0.000970833	4.07E-06	0.000131126	0.001871907	0.000140249	0.0001055	0.000189362	4.92E-06	7.07E-05	0.000622396	1.59E-05	2.42E-06	7.42E-05	2.58E-05	0.000124385	3.50E-05	0.007387391	0.000188393	1.59E-05	0.003248844	0.039740245	0.008175049	0.005946138	0.016133387	0.018672455	8.16E-05	0.000605191	0.015841223	0.001506177	0.000113008	0.002057427	0.000224785	0.001679859	8.42E-05	0.000166527	0.000382578	3.26E-06	0.009427556	0.001365545	5.87E-05	1.42E-05	0.000713333	0.000318739	0.000255386	6.46E-05	0.000368405	0.000194699	0.03618649	0.000113036	0.000215526	0.000818353	0.001056003	0.001875915	0.000666237	0.037086503	0.00445965	0.000617696	0.030314786	7.74E-05	0.000542694	0.000801675	0.013171017	0.009224725	1.03690408	0.008100149	0.000253775	0.385395543	0.006382218	0.012480186	0.000146879	0.031632771	0.000103697	0.000615794	1.04E-05	0.001072462	0.185496233	0.020988749	0.095376248	1.41E-05	0.000798285	0.001213049	4.85E-06	3.31E-05	0.16003554	0.082027818	0.005221236
4	13	0	0.260077785	0.120923605	0.096711674	0.0007352	8.00E-06	0.084350696	4.61E-05	0.128798126	0.014453837	0	0.083922062	0.022864993	0.005860904	0	0.019337635	0.000375225	0.000134293	0.000189987	0.00741079	0.000153697	0.016902418	0.006570974	3.44E-05	0	0.000410713	0.000810416	0	0.000672553	0.022725439	1.22E-05	0	5.33E-06	0.001732797	0.000168197	2.57E-05	0.000112874	5.28E-05	0.001594359	0.01244978	0.000876614	0.001218857	0.007777404	2.26E-05	0.012967452	0.001893039	0.000157747	0.001141074	0	0.010574449	0.007125218	5.76E-05	0.000415144	0.002810732	8.55E-06	2.47E-05	0.000104475	0.000838229	0.000195303	3.63E-05	0	0	0.005467733	0.001235377	5.34E-06	0.001987835	0.000943488	7.49E-05	3.78E-05	3.61E-07	0.000187769	0.004247846	0.000120941	5.26E-05	0.000422074	0	3.53E-06	0.000150453	0	0	0.002414919	0.000210741	3.44E-05	7.85E-05	0.000127627	0.001051318	3.51E-06	0.000188336	0.001616414	0.000158033	9.55E-05	0.000161717	4.99E-06	9.23E-05	0.00058186	1.62E-05	2.36E-06	7.15E-05	8.30E-06	0.000109344	2.44E-05	0.004897688	0.000115381	1.65E-05	0.003183418	0.030551227	0.025661747	0	0.011181408	0.014979953	7.96E-05	0.000526062	0.008774086	0.001254199	7.58E-05	0.001961242	0.000370032	0.001679248	6.53E-05	0.000162554	0.000295064	2.72E-06	0.010678585	0.000759714	3.59E-05	1.46E-05	0.004895512	0.000270538	0.000237899	6.93E-05	0.000336057	0.000113319	0.036981102	8.01E-05	0.000212512	0	0.00089535	0.001527809	0.000445072	0	0.004366333	0.000556689	0.024518323	8.36E-05	0.000388879	0	0.007301369	0.0056583	0.874568943	0.013288362	0.000195433	0.319230426	0.005971616	0.013557179	0.000137142	0.047468819	0.000216372	0	7.76E-06	0.00103999	0.159085346	0.029463795	0.011064493	2.20E-05	0.000911877	0.001264491	2.65E-06	3.87E-05	0.159298208	0.082496331	0.004795285
4	15	0	0	0.123335281	0.148527851	0.001505405	6.19E-06	0.235274017	0	0.104725699	0.044479437	0	0.013585989	0.073010517	0.007227999	0	0.066608395	0.000402444	6.27E-05	0.000105252	0.003580531	9.10E-05	0.00574658	0.012089923	3.95E-05	0	0.000351026	0.000733993	0	0.000472048	0.034976484	2.17E-05	0	8.63E-06	0.001840195	0.000254713	1.84E-05	9.00E-05	3.13E-05	0.001313949	0.021517562	0.000552496	0.00127416	0.00677278	1.52E-05	0.012572195	0.002576994	0.000139494	0.001701545	0	0.009218011	0.01315242	3.42E-05	0.000355694	0.0026733	5.07E-06	7.63E-05	0.000102835	0.000719246	0.000204918	2.15E-05	0	7.77E-06	0.009868962	0.002038076	1.26E-05	0.001791267	0.001477103	4.45E-05	0.000191409	2.14E-07	0.000158995	0.004312767	0.000125914	5.34E-05	0.000443294	1.04E-05	6.57E-06	0.000123813	0	0	0.002510566	0.000177351	4.94E-05	4.63E-05	0.000117639	0.001318797	2.46E-06	0.000306341	0.001395567	0.000186668	8.94E-05	0.000171003	4.28E-06	0.000115576	0.000614371	1.53E-05	2.09E-06	5.99E-05	0	7.64E-05	3.13E-05	0.001693875	3.79E-05	1.51E-05	0.003460254	0.019746948	0.040956821	0	0.007450068	0.011015101	8.14E-05	0.00037728	0.001787975	0.001066597	3.63E-05	0.001681942	0.000479069	0.001464494	4.17E-05	0.000138239	0.000196534	3.04E-06	0.01065472	0.000126919	2.47E-05	1.33E-05	0.008618476	0.000236584	0.000196609	6.47E-05	0.00029573	5.75E-05	0.033143526	7.28E-05	0.000176316	0	0.000642439	0.001183616	0.000243147	0	0.003741213	0.000441479	0.017361495	7.94E-05	0.000205439	0	0.000948442	0.002158746	0.616766359	0.017620195	0.000131636	0.239284234	0.004822757	0.013113019	0.000110197	0.058734957	0.000321487	0	4.74E-06	0.000850211	0.110632285	0.037374501	0	2.86E-05	0.001027403	0.001140764	2.28E-07	3.96E-05	0.137927568	0.071252859	0.004364285
4	17	0	0.034085374	0.135407495	0.174523795	0.002173005	8.46E-06	0.231705532	0	0.049930684	0.010838598	0	0.021097382	0.063213892	0.008252527	0	0.077681903	0.000386007	1.59E-05	2.20E-05	0.001671297	2.38E-05	0	0.020329879	5.32E-05	0	0.000252182	0.000597467	0	0.00029101	0.040335316	2.99E-05	0	1.12E-05	0.002017068	0.000331671	1.02E-05	5.97E-05	8.27E-06	0.000885116	0.016584843	0.000287251	0.001284707	0.00688118	7.03E-06	0.025316342	0.003298585	0.000129783	0.00223899	0	0.007897912	0.006673343	9.03E-06	0.000254901	0.002381193	1.34E-06	0.000131496	9.15E-05	0.000516675	0.000210779	5.68E-06	0	0.002894538	0.009895107	0.002733699	1.89E-05	0.001620478	0.002004953	1.17E-05	0.000362133	5.66E-08	0.000112022	0.00438494	0.000135341	5.33E-05	0.000429765	2.28E-05	1.08E-05	8.35E-05	0	0	0.002452553	0.000126033	6.66E-05	1.81E-05	0.000111715	0.001645907	1.20E-06	0.00043664	0.00120259	0.000212976	8.48E-05	0.000197742	3.06E-06	0.000133605	0.000683878	1.35E-05	1.65E-06	4.28E-05	0	4.02E-05	4.74E-05	0	0	1.23E-05	0.003972858	0.010126462	0.048828569	0.000225824	0.009517511	0.010630241	8.16E-05	0.000226408	0	0.000961989	6.13E-06	0.001313186	0.000516208	0.001126071	2.07E-05	0.000103759	0.000111394	4.71E-06	0.009411772	0	4.35E-05	1.06E-05	0.010535567	0.000266273	0.00015797	5.38E-05	0.000255334	8.19E-05	0.027376061	7.48E-05	0.000123498	0	0.000408506	0.001189644	0.000130772	0	0.00291894	0.00034095	0.014532513	6.98E-05	0.000100359	0	0	0.000664217	0.357449583	0.020436058	0.000114562	0.174730548	0.003416448	0.011874156	7.96E-05	0.062553039	0.00039781	0	2.30E-06	0.000595812	0.061686906	0.040352096	0	3.15E-05	0.001214878	0.000904258	0	3.64E-05	0.106171414	0.0537029	0.003886424
4	19	0	0.214437844	0.033682163	0.145939922	0.002618437	1.67E-05	0.214877012	0	0.07832695	0.004055624	0	0.0423218	0.029350472	0.008946876	0	0.033248971	0.000337706	0	0	0.00136997	0	0	0.010565037	6.87E-05	0.000384106	0.000144474	0.000451325	0	0.000153165	0.014854795	3.54E-05	0	1.26E-05	0.002232144	0.000387246	2.84E-06	2.97E-05	0	0.000435227	0.017507202	0.00010867	0.001267017	0.019758894	7.93E-08	0.030603792	0.003925196	0.000128805	0.00264077	0	0.007126799	0	0	0.0001441	0.002024154	0	0.000181495	7.57E-05	0.000293578	0.000214235	0	0	0.027991388	0.008506774	0.003200499	2.29E-05	0.001510872	0.002418914	0	0.000509337	0	6.12E-05	0.004505647	0.000143669	5.30E-05	0.000395691	3.59E-05	1.48E-05	4.14E-05	0	0	0.002360388	7.25E-05	8.24E-05	0	0.000112178	0.001954711	5.68E-08	0.000544644	0.001063279	0.000230397	8.19E-05	0.000228156	1.73E-06	0.000143583	0.000773618	1.13E-05	1.16E-06	2.48E-05	0	1.58E-05	6.54E-05	0	0	8.18E-06	0.004599804	0.00306859	0.045761527	0.020285958	0.021010212	0.016822781	7.46E-05	0.000120158	0.002972443	0.000925254	0	0.000906241	0.00045716	0.000722395	6.73E-06	6.57E-05	5.08E-05	8.10E-06	0.006964678	0	0.000106631	6.62E-06	0.009734103	0.000397774	0.00014124	3.87E-05	0.000215695	0.000228187	0.021677362	6.88E-05	6.56E-05	0.006593141	0.000268255	0.001813104	0.000148442	0.060403455	0.002133803	0.000304773	0.020373635	5.85E-05	0.000152897	0.001650248	0	0.002559271	0.155704721	0.021435788	0.000184103	0.142596559	0.002069071	0.010409007	5.49E-05	0.057098534	0.000433647	0.001669274	9.91E-07	0.000342426	0.027135964	0.03489269	0.023572724	2.89E-05	0.001538487	0.000597843	0	2.97E-05	0.071002173	0.033586922	0.003240658
4	21	0	0.06309657	0.118106544	0.202301385	0.002698322	3.26E-05	0.281510575	0	0.017230237	0.000789768	0	0.026927226	0.02274061	0.009164224	0	0.057315419	0.000258547	0	0	0.002182309	0	0	0.005131187	7.84E-05	0.00081426	4.70E-05	0.000324436	0	6.84E-05	0.030645631	3.64E-05	0	1.22E-05	0.002416522	0.000404985	0	4.57E-06	0	4.83E-05	0.007310582	2.83E-05	0.001206916	0.025789111	0	0.011382596	0.004279719	0.00013355	0.002765414	0	0.007171704	0.017059894	0	4.32E-05	0.001620051	0	0.000216817	5.78E-05	8.99E-05	0.000211864	0	0	0.021313509	0.015503173	0.003280974	2.32E-05	0.001453438	0.002587333	0	0.000591987	0	1.57E-05	0.004616576	0.000142808	5.22E-05	0.00034372	4.82E-05	1.71E-05	5.24E-06	0	0	0.002288326	2.68E-05	9.25E-05	0	0.000118566	0.002144972	0	0.000591793	0.000968121	0.000228569	7.86E-05	0.000245635	5.19E-07	0.000140301	0.000854878	9.06E-06	6.60E-07	8.55E-06	0	1.57E-05	7.83E-05	0	4.54E-06	2.81E-06	0.005324552	0	0.028587849	0.060315647	0.046545347	0.033113309	5.52E-05	9.43E-05	0.017182196	0.000947741	0	0.000482048	0.000277994	0.000279622	2.53E-06	2.76E-05	2.07E-05	1.40E-05	0.003175852	0	0.000234345	1.30E-06	0.00537169	0.00068224	0.000164378	2.02E-05	0.00017613	0.000550859	0.017625787	3.83E-05	9.03E-06	0.021529209	0.000282239	0.003377031	0.00033736	0.224645001	0.001556952	0.000379341	0.039673758	4.87E-05	0.000443736	0.006182493	0.006275709	0.009338976	0.050963283	0.020618172	0.000385623	0.157449846	0.000979299	0.009218534	4.33E-05	0.040690068	0.000425052	0.006028346	1.21E-06	0.000132707	0.018217811	0.017537359	0.129463415	1.93E-05	0.002101096	0.000240401	7.79E-07	1.96E-05	0.036544497	0.012965581	0.002286853
4	23	0	0.026448999	0.112749166	0.043497356	0.002484541	6.39E-05	0.162640234	0	0.141670743	0	0	0.039760886	0.101516454	0.009612388	0	0.082901706	0.000163676	0	0	0.004028592	0	0.000492825	0.018746135	8.23E-05	0.000941495	0	0.00027075	0	5.37E-05	0.069833505	3.42E-05	0	1.04E-05	0.002750246	0.000403991	0	0	0	0	0.029502845	6.78E-05	0.001197941	0.016883567	0	0.018930387	0.004594163	0.000155383	0.002710272	0	0.009148951	0.023419941	0	0	0.001305373	0	0.000250158	4.38E-05	0	0.000220083	0	0	0.00789131	0.018913286	0.003087129	2.01E-05	0.001585526	0.002608722	0	0.000623918	0	0	0.005124088	0.000137034	5.55E-05	0.000303532	6.42E-05	1.81E-05	0	0	0	0.002517519	0	0.000101573	0	0.000143615	0.002324579	0	0.000591822	0.001001086	0.000216366	8.03E-05	0.000256823	0	0.000130017	0.000988575	7.58E-06	2.24E-07	0	1.71E-05	5.77E-05	8.64E-05	0.002715592	0.000109339	0	0.005542025	0	0	0.119591619	0.085544436	0.059311397	1.20E-05	0.000173434	0.042739673	0.000917918	3.18E-05	6.22E-06	0	0	1.08E-05	0	2.48E-05	2.15E-05	0	0.000581428	0.000420711	0	0	0.001094663	0.000226659	0	0.000116499	0.001043043	0.014757588	0	0	0.043523407	0.000478908	0.00582662	0.00070244	0.475917189	0.00117855	0.00056802	0.072766388	3.79E-05	0.001003858	0.013072429	0.022686082	0.021465231	0.076571933	0.015637822	0.000721299	0.216456568	0.000228793	0.00774525	4.71E-05	0.006968882	0.000319877	0.01253914	3.25E-06	0	0.043938052	0	0.280854801	0	0.002769363	0	5.78E-06	4.08E-06	0.002571073	0	0.000635067
